Timestamp,Price (USD),Market Cap (USD),Fully Diluted Market Cap (USD),24h Volume (USD)
2024-04-12 11:09:42,0.7224158050662636,498539296.234504,498701808.38614464,2685323.7183798105
2024-04-12 12:09:25,0.7134549513183113,492653351.7458491,492515905.5619703,2991139.431688753
2024-04-12 13:09:26,0.6929791812801847,475028931.20472085,478380966.27285004,3846828.8376385444
2024-04-12 14:09:15,0.6793154929040628,433414032.8728902,468948578.36742246,5283271.427442119
2024-04-12 15:08:59,0.6519627938980876,450195665.4849144,450066321.9676328,5969009.568101135
2024-04-12 16:09:25,0.6574668913914585,453104070.7027807,453865938.9669119,6976015.350934903
2024-04-12 17:09:26,0.6797450035694516,469941027.91451865,469245080.3875172,7740739.907347239
2024-04-12 18:04:13,0.6704173526580733,463838345.38521665,462805968.251713,8275341.634479422
2024-04-12 19:05:38,0.5795165971137619,445328468.68385583,400054889.36376303,8523377.003135124
2024-04-12 20:01:51,0.6276212614282293,432612964.0006054,433262749.597708,9819693.880692745
2024-04-12 21:06:41,0.6397530142284593,441740692.18586314,441637603.8270025,10584977.240586385
2024-04-12 22:04:48,0.6381074524854764,438960012.5737459,440501631.1485512,11219792.380253874
2024-04-12 23:00:32,0.6449734358206403,445379470.2463582,445241392.21355355,11570086.384279557
2024-04-13 00:07:08,0.5933788117945816,410158850.2597021,409624324.9728409,12153229.746889222
2024-04-13 01:07:06,0.6309511722629089,435746518.03527045,435561470.83743364,12582724.384977885
2024-04-13 02:01:15,0.5287153067734888,402382154.5265793,364985480.32900363,13054682.947410706
2024-04-13 03:00:51,0.5496280136279593,379220602.7233104,379422048.09708726,14113405.539255887
2024-04-13 04:04:58,0.6013731329593596,409548059.87935007,415143006.03399056,14542761.319646614
2024-04-13 05:10:58,0.7281532189402611,502208364.1913946,502662489.55391043,15339682.22355353
2024-04-13 06:10:09,0.6708695715643547,465860386.01833963,463118146.3419033,15876264.023603207
2024-04-13 07:03:35,0.6648447805129584,458493190.17416793,458959081.4773072,15625956.20976067
2024-04-13 08:02:15,0.6734771949630571,464966112.9875262,464918254.3896552,15734103.745863928
2024-04-13 09:01:55,0.6602798343074033,455564173.3058507,455807784.2438712,15336519.85120774
2024-04-13 10:03:09,0.6677099431629228,461355882.69305784,460936975.3506654,15297075.078706933
2024-04-13 11:04:08,0.6504812635575368,448841277.3893985,449043584.29380256,15261139.031615712
2024-04-13 12:01:51,0.6256321636182997,442415140.23398435,431889625.3278454,15305996.991011629
2024-04-13 13:00:59,0.6494423313861144,442429906.52385575,448326383.27321947,14639797.456703372
2024-04-13 14:00:48,0.6472631437737744,446629669.1188345,446822035.22952324,14360980.951146865
2024-04-13 15:04:57,0.6006650567390162,415919336.5018133,414654203.2017656,13086496.412695473
2024-04-13 16:09:02,0.5822196771643705,401911440.68999475,401920893.54030144,12262377.53110262
2024-04-13 17:06:42,0.5848992589014643,404727866.43232024,403770676.23973256,11706591.701883826
2024-04-13 18:09:52,0.5418396473041488,363159987.67494315,374045542.84509903,12232795.575377246
2024-04-13 19:00:34,0.5460191812761993,365787073.3906448,376930780.3156188,11687386.41632312
2024-04-13 20:02:27,0.547943566724869,386628336.5231507,378259232.01414657,10810896.302613316
2024-04-13 21:02:26,0.34851574089385823,279921232.33898413,240589185.64061844,13317808.60734742
2024-04-13 22:05:51,0.4586993714170807,313773246.4909719,316651718.3414938,15478818.122974025
2024-04-13 23:06:01,0.6027656447387757,398031428.25675315,416104291.9550954,18476937.68398561
2024-04-14 00:04:25,0.6100049093943236,424139672.15008134,421101738.5084367,20676749.06779734
2024-04-14 01:01:33,0.5228296447934985,361827734.62680304,360922459.76330394,20416327.20082964
2024-04-14 02:07:50,0.5434840669710524,374808544.29409856,375180727.1196947,20969934.97515765
2024-04-14 03:07:27,0.5820015645282312,403666946.1807025,401770324.89920616,20365754.96594592
2024-04-14 04:07:26,0.5506130218728745,379535336.3349242,380102024.07431465,20455486.23158286
2024-04-14 05:01:24,0.6095180640163579,420210648.9024797,420765656.8935367,21047404.325311553
2024-04-14 06:03:01,0.7196010829291116,466720250.1356883,496758734.8680155,22375502.429621223
2024-04-14 07:01:38,0.7232613762591495,507602094.8330496,499285527.45770174,24017949.71581321
2024-04-14 08:03:38,0.734723531389391,501388715.3025869,507198141.5663169,24108895.218922712
2024-04-14 09:02:57,0.7786589207866073,532451152.5115856,537527846.4134188,25153192.85165153
2024-04-14 10:02:59,0.7128771916729482,525735961.00044215,492117063.5406102,24673829.976830598
2024-04-14 11:02:27,0.6703797335590727,461307655.130297,462779998.8410634,25160028.59970696
2024-04-14 12:02:01,0.6571135866972793,450540195.4533288,453622043.84631395,24733180.0131178
2024-04-14 13:01:34,0.6885832819262315,467492319.3551484,475346366.3348007,24659018.571346607
2024-04-14 14:03:44,0.6964588376492139,497892687.5171113,480783060.6229841,25570480.467256803
2024-04-14 15:01:40,0.6526842060349336,447048053.8624609,450564330.91859114,25320763.909364644
2024-04-14 16:03:31,0.673082914234178,454375708.77209306,464646072.48122394,25882376.045129184
2024-04-14 17:00:34,0.711828349909741,487289622.24442,491393021.67946297,26509169.622717667
2024-04-14 18:02:12,0.6860497480942853,478874287.6725127,473597404.17929643,25476282.128937602
2024-04-14 19:02:25,0.6791864814776798,461421492.1275768,468859518.53347576,26199783.00563322
2024-04-14 20:04:03,0.7163012625284824,482155448.1240514,494480785.8120804,25621063.31053016
2024-04-14 21:06:52,0.7557756286521865,519165784.4117372,521730934.0407481,21834960.48468547
2024-04-14 22:05:28,0.7302606193781709,511426256.5147975,504117281.1047168,19893093.60282107
2024-04-14 23:06:52,0.789179349586097,531943976.19472945,544790363.1392564,18792298.35901468
2024-04-15 00:06:17,0.8032043301140007,550803141.3864403,554472160.1082534,18210143.800171245
2024-04-15 01:05:33,0.7704660522393525,531367852.5503547,531872103.0980975,17529859.91996403
2024-04-15 02:03:50,0.7312986852376874,509642398.55862063,504833884.08839226,17149496.13227703
2024-04-15 03:07:19,0.7031813670944911,485514185.25346583,485423791.8580674,17023490.915702347
2024-04-15 04:05:47,0.7819810579933018,517546070.1249689,539821201.3221384,16544485.395174049
2024-04-15 05:03:12,0.7353500693372892,514167740.56023383,507630656.47732544,16428931.525346886
2024-04-15 06:04:50,0.7416908048892352,512337324.77285314,512007825.7807625,15503462.769641748
2024-04-15 07:00:36,0.7625982744722978,524648968.0843332,526440778.1286077,15412900.86949938
2024-04-15 08:04:46,0.7738470372558848,530186152.87386113,534206082.13073575,15333649.547849145
2024-04-15 09:06:48,0.7637775537505271,529424332.12233883,527254864.2885739,14621969.062840711
2024-04-15 10:07:00,0.7520359360576905,524575615.93064713,519149330.14088273,14126699.963265311
2024-04-15 11:07:20,0.7473718496120324,516837336.6748105,515929593.90503776,14194345.900761623
2024-04-15 12:07:00,0.7433549441604327,513306098.03974193,513156622.9944066,13933715.47379029
2024-04-15 13:06:56,0.7176713505460474,504844908.3571635,495426592.0461303,13673645.234807068
2024-04-15 14:06:59,0.7406302636658372,503115565.6297294,511275707.48785204,13165058.766602907
2024-04-15 15:07:23,0.6679811664344328,460241143.492437,461124207.59977996,12327806.771664627
2024-04-15 16:07:26,0.6614590200886188,456077224.707969,456621805.86049604,12511502.284589289
2024-04-15 17:07:45,0.6142524086980027,449597561.4363706,424033894.15759134,11791860.079292104
2024-04-15 18:07:49,0.5866584903044112,394752618.61451477,404985117.9447266,11628639.37616637
2024-04-15 19:08:10,0.5687322696992796,393973270.8085838,392610196.78351516,11950950.359410863
2024-04-15 20:07:31,0.6343504939778195,420936917.37555635,437908108.15436876,13398054.642280769
2024-04-15 21:07:25,0.6365840916903254,438813101.77885187,439450016.85933083,12750084.421391226
2024-04-15 22:07:46,0.6256309476809856,432682259.40217763,431888785.93572086,12129629.59440309
2024-04-15 23:07:25,0.6471201502027185,436413938.4593877,446723323.1692761,11527319.658511657
2024-04-16 00:07:04,0.6409504587278059,441931867.4542241,442464229.8961974,11190380.977713246
